ccn,state,hospital,url,csv_bytes,downloaded_bytes,sha256
110082,GA,EMORY SAINT JOSEPH'S HOSPITAL,https://www.emoryhealthcare.org/-/media/Project/EH/Emory/ui/pricing-transparency/csv/2025/580566257_emory-saint-josephs-hospital-of-atlanta-inc_standardcharges.csv,6725778,6725778,ffb22e250046a0a638317bbcef4e06a15e5c917dcdd7dd086373f8ecd8fc2369
154005,IN,RIVER BEND HOSPITAL,https://www.nchsi.com/storage/app/media/Price%20Transparency/311118357_river-bend-hospital_standardcharges.csv,58605,58605,069e3dfb0274c4fa9b963fbb219d229c045eea658fb1f3688e8cfd82e00b988c
371313,OK,MERCY HOSPITAL KINGFISHER,https://www.mercy.net/content/dam/mercy/en/web-assets/charge-files/463433074_mercy-hospital-kingfisher_standardcharges.zip,72031452,3178519,3710c3efb6f057ffa8b2695ed1c3552956681a9bdc1138a0cc9987d956852d73
342015,NC,CAROLINAS CONTINUECARE HOSPITAL AT PINEVILLE,https://secure.claraprice.net/price-transparency/ALTF-1730315629247/machine-readable/753054855_carolinas-continuecare-hospital-at-pineville_standardcharges.json,3534740,3534740,fbad7ee2b7059109cd4a65153636e1afaef0dd370309add26e11d430e204a405
180104,KY,CONTINUECARE HOSPITAL AT BAPTIST HEALTH PADUCAH,https://secure.claraprice.net/price-transparency/CRPL-1730316554654/machine-readable/465032999_continuecare-hospital-at-baptist-health-paducah_standardcharges.json,301821,301821,168edad7a8df28f10b9e2c9e26e9a8dd7bcd8c9af52e1838831843debf20c582
511310,WV,SUMMERS COUNTY ARH HOSPITAL,https://www.arh.org/wp-content/uploads/2025/05/520795508_Summers-County-ARH-Hospital.standardcharges.csv,18379612,18379612,059a6c0d4555f317f5f947a9b7d9ab27f3ea0c349367bb3f465ede47eba6f19f
054149,CA,TELECARE WILLOW ROCK CENTER,https://www.telecarecorp.com/s/941735271_telecare-willow-rock-center_standardcharges.csv,2721,2721,4a53b0b42d887f36041ebc421cf77c0501ee0d7d1aab4850cd0aa5ba3138cde0
214003,MD,BROOK LANE HEALTH,https://www.brooklane.org/wp-content/uploads/2025/08/52-0698850_BrookLaneHealthServices_standardcharges.csv,10340,10340,2f93a9f6821e74a0ef72b58a8d1d58d810db7d9e655a428735c001e47f9bfcb8
340126,NC,WILSON MEDICAL CENTER,https://www.wilsonmedical.com/docs/ahwilsonmedicalcenterlibraries/hcl/mrf2q25/464317222_wilson-medical-center_standardcharges.csv,3914183,3914183,2fbce1e36b63fc5f7dcce661a7be836a06f8cffb54c8af19fcd6ecb67ce1de8d
140158,IL,INSIGHT HOSPITAL & MEDICAL CENTER CHICAGO,https://estimator.myinsightcare.com/static/mrf/862358048_insight-hospital-and-medical-center-chicago_standardcharges.csv,146546,146546,fbae7d8c8519f51831804b8921bd72ca68becad75253f40549e6836b42f442c7
451348,TX,HEART OF TEXAS MEMORIAL HOSPITAL,https://heartoftexashealthcare.slicedhealth.io/pricer/320326595_HeartofTexas_standardcharges.CSV,1752026,1752026,4f7db7086c70c0d427c69b5a7198a20bad1f3f08b7a2e6548a71dc331e4acf45
272001,MT,ADVANCED CARE HOSPITAL OF MONTANA,https://achm.ernesthealth.com/wp-content/uploads/sites/32/2024/12/205292745_Advanced-Care-Hospital-of-Montana_Standard-Charges.csv,4192827,4192827,4960d1410b6be5caac05644a4758369cb8f0f1509ed618ba550da41f40250347
